"Timestamp","Recent Study Shows Nearly Six in Ten Trump Supporters are Illiterate","REPORT: Nine ISIS Supporters Arrested Near Washington D.C.","Will Trump's plan mean faster rate hikes?","Ahead of Pro-Trump Rally, KKK Members Claim They're 'Not White Supremacists'","Obamacare Has Its Biggest Day as Republicans Promise Repeal","Obama To Issue Executive Order Extending Presidential Term Limits","Trump Pledges to End ""Let's Move"" on First Day in Office","Carl Paladino, Trump campaign N.Y. co-chair, says his derogatory Obama remarks were a ""mistake""","Obama ""permanently"" bans drilling in parts of Arctic, Atlantic","Mysterious Manhattan Military Flyover Was Trump Rescue Exercise","Did you find it hard to identify real vs. fake news articles? Why or why not?","In your opinion, what kind of language indicates that a headline is fake?"
"2017/11/23 6:47:43 PM EST","Fake","Fake","Real","Real","Real","Fake","Fake","Real","Real","Fake","Some were hard. I looked for more extreme language ","Anything sensationalized or downright not how the world works"
"2017/11/23 6:50:23 PM EST","Fake","Real","Fake","Real","Real","Fake","Fake","Fake","Fake","Fake","Yes","I looked for grammar errors but not too many! "
"2017/11/23 6:53:51 PM EST","Fake","Fake","Real","Fake","Real","Fake","Real","Real","Fake","Fake","Yes because of all the crazy things going in the world!","If the wording is meant to incite an emotional response rather than deliver facts "
"2017/11/23 6:55:01 PM EST","Fake","Fake","Real","Fake","Real","Fake","Fake","Fake","Real","Real","",""
"2017/11/23 7:03:51 PM EST","Fake","Real","Real","Real","Real","Fake","Fake","Real","Real","Fake","Yes, they all sound fake at this point ","Sarcasm "
"2017/11/23 7:17:07 PM EST","Fake","Fake","Real","Real","Fake","Fake","Real","Real","Fake","Fake","Hard to tell because I don't know what I got right -- but I generally take alarmism with a grain of salt.","Alarmist language, extremes expressed through definitives, sensationalism "
"2017/11/23 7:23:30 PM EST","Real","Real","Fake","Fake","Real","Real","Fake","Real","Fake","Fake","",""
"2017/11/23 7:25:01 PM EST","Real","Real","Fake","Fake","Fake","Fake","Real","Real","Real","Fake","",""
"2017/11/23 7:31:00 PM EST","Fake","Fake","Real","Fake","Fake","Fake","Fake","Fake","Fake","Fake","Yes. I think it is hard to identify fake news unless you are very informed or you look at multiple resources to check the validity of information.","I don't believe language is enough to identify a fake article."
"2017/11/23 7:36:16 PM EST","Fake","Fake","Real","Real","Real","Fake","Real","Real","Real","Fake","","Simplistic language in polarizing issues"
"2017/11/23 7:50:46 PM EST","Real","Fake","Fake","Real","Real","Fake","Fake","Real","Real","Fake","Yes. They all had similar styles. The ones that were obviously real seemed to be the ones that had extra punctuation (used correctly) ","Pain and direct"
"2017/11/23 7:51:08 PM EST","Fake","Fake","Real","Real","Real","Fake","Fake","Real","Fake","Real","It's hardest to separate the most poignant real news headlines from the worst fake news headlines, because they generally share obvious shock value / humor. Likewise, it is hardest to separate the best fake news headlines (those that are subdued in the way real headlines generally are but report on completely fake events) from the dullest, most boring headlines.","Exaggerated language that clearly isn't self-aware of its exaggeration (e.g. ""Mysterious Manhattan Military Flyover"" sounds tongue-and-cheek real, whereas 'REPORT: Nine ISIS Supporters Arrested Near Washington, D.C.' sounds like someone who's never seen a headline's idea of a headline). If the headline is more well-written for fake news, it generally seems to be referring to a blatantly false event (something that would never happen, like Obama extending the term of the presidency)."
"2017/11/23 7:52:48 PM EST","Fake","Fake","Fake","Real","Real","Fake","Fake","Real","Fake","Fake","Yes, it’s hard to figure out what is within the realm of possibilities ","Questions, quotation marks, definitives"
